Record Length,30000,,Source,CH1,CH2
Sample Interval,0.0002000000000,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-3.00000000000,0.96000,-0.12000
Vertical Scale,CH1:1.00 CH2:1.00,,-2.99980000000,0.92000,-0.08000
Vertical Offset,CH1:-2.92000 CH2:-2.92000,,-2.99960000000,0.92000,-0.08000
Horizontal Units,s,,-2.99940000000,0.96000,-0.08000
Horizontal Scale,0.5000000000,,-2.99919975000,0.92000,-0.08000
Model Number,WaveAce212,,-2.99899975000,0.96000,-0.08000
Serial Number,LCRY2101C02669,,-2.99880000000,0.96000,-0.08000
Software Version,2.06.02.19,,-2.99860000000,0.96000,-0.08000
,,,-2.99840000000,0.92000,-0.08000
,,,-2.99820000000,0.92000,-0.08000
,,,-2.99800000000,0.92000,-0.08000
,,,-2.99779975000,0.92000,-0.08000
,,,-2.99759975000,0.92000,-0.04000
,,,-2.99739975000,0.92000,-0.08000
,,,-2.99720000000,0.92000,-0.08000
,,,-2.99700000000,0.92000,-0.08000
,,,-2.99680000000,0.96000,-0.08000
,,,-2.99660000000,0.96000,-0.08000
,,,-2.99640000000,0.96000,-0.08000
,,,-2.99619975000,0.92000,-0.04000
,,,-2.99599975000,0.92000,-0.08000
,,,-2.99580000000,0.96000,-0.08000
,,,-2.99560000000,0.96000,-0.04000
,,,-2.99540000000,0.92000,-0.08000
,,,-2.99520000000,0.96000,-0.08000
,,,-2.99500000000,0.96000,-0.08000
,,,-2.99479975000,0.96000,-0.08000
,,,-2.99459975000,0.92000,-0.08000
,,,-2.99440000000,0.92000,-0.08000
,,,-2.99420000000,0.92000,-0.08000
,,,-2.99400000000,0.96000,-0.08000
,,,-2.99380000000,0.96000,-0.08000
,,,-2.99360000000,0.96000,-0.08000
,,,-2.99339975000,0.92000,-0.08000
,,,-2.99319975000,0.92000,-0.08000
,,,-2.99300000000,0.96000,-0.04000
,,,-2.99280000000,0.92000,-0.08000
,,,-2.99260000000,0.96000,-0.08000
,,,-2.99240000000,0.92000,-0.08000
,,,-2.99220000000,0.96000,-0.08000
,,,-2.99199975000,0.96000,-0.08000
,,,-2.99179975000,0.96000,-0.08000
,,,-2.99160000000,0.96000,-0.08000
,,,-2.99140000000,0.96000,-0.08000
,,,-2.99120000000,0.92000,-0.08000
,,,-2.99100000000,0.96000,-0.08000
,,,-2.99080000000,0.92000,-0.08000
,,,-2.99059975000,0.92000,-0.08000
,,,-2.99039975000,0.96000,-0.08000
,,,-2.99020000000,0.92000,-0.08000
,,,-2.99000000000,0.92000,-0.08000
,,,-2.98980000000,0.92000,-0.08000
,,,-2.98960000000,0.92000,-0.08000
,,,-2.98940000000,0.96000,-0.08000
,,,-2.98920000000,0.92000,-0.08000
,,,-2.98899975000,0.96000,-0.08000
,,,-2.98879975000,0.92000,-0.08000
,,,-2.98860000000,0.92000,-0.08000
,,,-2.98840000000,0.92000,-0.08000
,,,-2.98820000000,0.92000,-0.08000
,,,-2.98800000000,0.96000,-0.08000
,,,-2.98780000000,0.96000,-0.08000
,,,-2.98759975000,0.96000,-0.08000
,,,-2.98739975000,0.96000,-0.12000
,,,-2.98720000000,0.92000,-0.08000
,,,-2.98700000000,0.96000,-0.08000
,,,-2.98680000000,0.92000,-0.04000
,,,-2.98660000000,0.92000,-0.08000
,,,-2.98640000000,0.92000,-0.08000
,,,-2.98619975000,0.92000,-0.08000
,,,-2.98599975000,0.96000,-0.08000
,,,-2.98580000000,0.92000,-0.08000
,,,-2.98560000000,0.96000,-0.08000
,,,-2.98540000000,0.96000,-0.08000
,,,-2.98520000000,0.96000,-0.04000
,,,-2.98500000000,0.96000,-0.08000
,,,-2.98479975000,0.92000,-0.08000
,,,-2.98459975000,0.96000,-0.08000
,,,-2.98440000000,0.96000,-0.08000
,,,-2.98420000000,0.96000,-0.08000
,,,-2.98400000000,0.96000,-0.08000
,,,-2.98380000000,0.96000,-0.08000
,,,-2.98360000000,0.96000,-0.08000
,,,-2.98339975000,0.96000,-0.08000
,,,-2.98319975000,0.96000,-0.08000
,,,-2.98300000000,0.92000,-0.08000
,,,-2.98280000000,0.96000,-0.08000
,,,-2.98260000000,0.96000,-0.08000
,,,-2.98240000000,0.96000,-0.08000
,,,-2.98220000000,0.96000,-0.04000
,,,-2.98199975000,0.92000,-0.08000
,,,-2.98179975000,0.96000,-0.08000
,,,-2.98159975000,0.96000,-0.08000
,,,-2.98140000000,0.92000,-0.08000
,,,-2.98120000000,0.96000,-0.08000
,,,-2.98100000000,0.92000,-0.08000
,,,-2.98080000000,0.92000,-0.08000
